Year-Month,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
2021-11,"918,598","235,638","211,623"
2021-10,"935,862","226,159","200,548"
2021-09,"903,117","229,279","205,564"
2021-08,"911,545","219,365","198,913"
2021-07,"844,324","215,463","195,762"
2021-06,"882,103","221,862","239,290"
2021-05,"861,626","213,356","234,992"
2021-04,"847,186","218,132","233,145"
2021-03,"822,551","219,522","237,154"
2021-02,"813,680","220,840","240,481"
2021-01,"798,605","224,133","241,220"
2020-12,"778,037","224,987","227,127"
2020-11,"722,118","200,723","221,567"
2020-10,"659,313","193,293","217,739"
2020-09,"654,324","189,462","211,547"
2020-08,"645,547","185,113","215,042"
2020-07,"613,830","181,420","223,768"
2020-06,"584,676","185,497","229,078"
2020-05,"552,543","175,794","210,935"
2020-04,"524,696","180,942","217,187"
2020-03,"479,291","191,046","226,202"
2020-02,"545,127","163,001","197,716"
2020-01,"561,812","152,854","186,847"
2019-12,"579,221","151,543","186,315"
2019-11,"563,482","146,935","186,866"
2019-10,"554,604","145,650","183,966"
2019-09,"555,910","150,648","187,887"
2019-08,"564,894","135,567","181,451"
2019-07,"602,139","138,703","182,613"
2019-06,"596,304","139,826","179,542"
2019-05,"568,751","137,489","179,019"
2019-04,"588,721","143,802","178,523"
2019-03,"574,013","141,074","180,765"
2019-02,"581,205","149,686","181,955"
2019-01,"568,433","151,804","186,050"
2018-12,"554,285","159,572","190,743"
2018-11,"592,593","146,452","178,810"
2018-10,"607,645","148,037","183,432"
2018-09,"648,126","151,384","188,152"
2018-08,"652,395","148,873","178,601"
2018-07,"652,790","148,947","178,299"
2018-06,"646,931","157,150","179,399"
2018-05,"668,940","155,344","181,890"
2018-04,"652,303","155,989","179,410"
2018-03,"645,235","166,148","180,751"
2018-02,"645,064","164,657","183,267"
2018-01,"665,716","168,450","181,763"
2017-12,"642,798","172,999","182,773"
2017-11,"627,422","170,948","185,312"
2017-10,"607,838","169,368","184,047"
2017-09,"606,334","172,872","183,599"
2017-08,"596,567","170,524","183,744"
2017-07,"594,414","173,195","184,246"
2017-06,"584,258","176,707","187,500"
2017-05,"582,764","176,970","185,463"
2017-04,"590,797","180,908","184,930"
2017-03,"577,674","186,892","184,977"
2017-02,"568,637","185,720","184,598"
2017-01,"553,557","186,301","186,029"
2016-12,"529,372","188,062","189,979"
2016-11,"539,972","179,598","187,085"
2016-10,"523,760","182,051","182,986"
2016-09,"540,615","184,757","182,833"
2016-08,"510,157","177,764","185,695"
2016-07,"513,221","183,435","188,155"
2016-06,"487,636","186,233","189,585"
2016-05,"489,867","177,161","187,495"
2016-04,"495,178","176,016","187,000"
2016-03,"483,909","182,673","172,525"
2016-02,"474,156","178,989","168,308"
2016-01,"487,200","180,616","162,825"
2015-12,"503,444","181,812","159,677"
2015-11,"515,410","174,607","165,584"
2015-10,"513,941","174,437","163,210"
2015-09,"497,279","173,760","167,132"
2015-08,"515,960","175,647","168,692"
2015-07,"530,744","168,659","169,132"
2015-06,"547,957","170,614","168,441"
2015-05,"541,671","166,334","169,076"
2015-04,"549,964","168,430","167,073"
2015-03,"518,055","171,625","170,074"
2015-02,"504,923","168,371","170,930"
2015-01,"485,872","163,599","178,259"
2014-12,"495,756","169,295","181,223"
2014-11,"496,341","158,420","184,227"
2014-10,"492,888","158,624","185,193"
2014-09,"503,901","161,621","183,243"
2014-08,"501,000","155,245","180,820"
2014-07,"498,671","155,931","177,981"
2014-06,"502,270","160,293","184,723"
2014-05,"475,362","150,474","188,551"
2014-04,"475,195","149,801","194,679"
2014-03,"487,932","156,083","194,461"
2014-02,"502,093","154,049","190,312"
2014-01,"487,549","151,878","195,863"
2013-12,"478,502","157,000","197,521"
2013-11,"456,378","150,214","199,153"
2013-10,"445,022","151,494","199,889"
2013-09,"432,852","149,895","197,780"
2013-08,"414,442","143,808","195,181"
2013-07,"412,101","144,495","194,790"
2013-06,"407,681","150,093","200,308"
2013-05,"401,606","146,765","199,756"
2013-04,"408,677","140,706","191,719"
2013-03,"403,933","144,530","197,887"
2013-02,"390,351","142,123","208,682"
2013-01,"388,123","142,856","199,709"
2012-12,"355,009","162,206","211,576"
2012-11,"351,441","135,650","202,425"
2012-10,"342,325","124,800","200,406"
2012-09,"339,159","129,389","205,176"
2012-08,"320,395","124,276","196,786"
2012-07,"313,525","124,330","194,741"
2012-06,"320,952","138,937","192,149"
2012-05,"315,147","139,111","187,938"
2012-04,"335,154","138,909","182,021"
2012-03,"330,815","142,297","182,814"
2012-02,"323,021","139,609","177,639"
2012-01,"309,844","137,309","174,889"
2011-12,"301,616","142,533","189,143"
2011-11,"303,930","132,934","188,259"
2011-10,"317,028","133,639","188,141"
2011-09,"298,277","141,806","204,307"
2011-08,"308,866","135,508","193,533"
2011-07,"344,572","138,316","182,957"
2011-06,"345,273","139,575","183,547"
2011-05,"355,736","133,727","175,508"
2011-04,"360,883","133,131","175,399"
2011-03,"355,413","133,386","170,139"
2011-02,"348,979","135,760","179,102"
2011-01,"326,868","130,894","173,545"
2010-12,"313,678","126,098","182,426"
2010-11,"309,340","119,305","176,805"
2010-10,"303,428","114,784","176,588"
2010-09,"288,540","114,321","173,544"
2010-08,"268,371","106,870","174,209"
2010-07,"267,468","106,290","172,179"
2010-06,"263,202","114,265","172,908"
2010-05,"268,566","114,051","166,706"
2010-04,"295,550","111,217","160,630"
2010-03,"277,798","108,908","162,169"
2010-02,"263,657","106,131","164,624"
2010-01,"266,455","281,035",
2009-12,"262,399","281,043",
2009-11,"250,988","284,071",
2009-10,"265,404","299,858",
2009-09,"254,107","287,196",
2009-08,"236,251","281,989",
2009-07,"228,734","277,082",
2009-06,"217,140","283,874",
2009-05,"214,401","275,313",
2009-04,"208,010","285,658",
2009-03,"203,967","291,927",
2009-02,"199,655","310,503",
2009-01,"205,007","316,763",
2008-12,"210,185","345,713",
2008-11,"227,334","364,232",
